三浦翔平かっこよ過ぎる(≧∇≦) 見るたびにやけてしまうぜ！！
RT @djaoi: 男性が思い描いているほど 女性はカワイイ生き物じゃないですよ 男性が思い描いているような カワイイ女性にするのが 男性の役割だと思いますよ
@shokotannnnn  確かに(∋_∈)（笑 歌詞がリアルで悲しくなってくる(T_T)
RT @DJ_aoi: 優しい人だからって いつまでも笑ってると思うなよ
@shokotannnnn  分かる(∋_∈)何か聴いちゃうよね；それでまた悲しくなってきちゃったりして(´⌒｀)（笑
仕事終わったー明日も早番かぁ…。 今日のいいとも三浦翔平だったのに…見れなかった(ノ△Ｔ)まじショックだ(-_-#)
ハングリーだいぶうける(゜∇゜)
拓かわいいなー(≧∇≦)
あー疲れた…。色んな意味で(´⌒｀)何も考えたくない。
RT @kei7598: @HarukoMaki 新月の願い事は新月の前に考えてしまうと効果が薄く、今夜23時37分以降が新月なのでそれから8時間以内に考えて書くのが最も効果的だそうですよー
自分の性格まじ嫌いだー(-_-#)
今日は楽しかったな♪ あたしもああいうキャラになりたいわ(∋_∈) 明日休みだったら良かったなぁー；しんどいよ～(ノ△Ｔ)
@shokotannnnn  すごいよね(◎o◎)（笑 埼玉はもう暖かい～？
明日早番だー(*_*) 嫌やー；
どっか旅に行きたいなぁー(∋_∈)
RT @ren_i_bot: “好き”ってなんだろう
@shokotannnnn  そっかぁ(^O^)良いなぁ～☆花粉やばい？(;_;)
@nocoxxxx  いえいえ(*^^*) お仕事は何されてるんですかー？
カラオケ行きたいー！！
久しぶりのサーティワン☆ http://t.co/iy5hdUDo
@nlkiletiry  フォローありがとうございます(*^^*)！
お初。 http://t.co/DNtFLqEw
なんかバナナオレをプリンにした感じだー！
明日初ライブだー！！HY！何か色んな意味で緊張する(∋_∈)
頭痛い(T_T)
昨日の初HYライブ最高だった(≧∇≦) MCもおもしろいし仲宗根さんの声鳥肌たった(;_;) http://t.co/rN0VIJZO
@sala_happy  ありがとうございます(*^^*)すごい楽しめました(^O^)始まる前は緊張してたんですけどいざ始まると緊張なんてぶっ飛んじゃいました！
@shokotannnnn  やっぱ花粉やばいよね(ノ△Ｔ)鼻もげちゃいそう；
眠いー(´⌒｀) 明日は遅番か…。
髪短くしたいけど似合わないの分かってるから出来ない(∋_∈)
RT @sazae_f: ちょっとおじいちゃん、このカッコの中の文字「　　　」見えないでしょ？これはシークレットモードっていってね、このポストをお気に入り登録してそのあと5秒以内にリツイートボタンを押すと、100分の1の確率で文字が見えるようになるって裏技なんだよ。嘘だと ...
SPECすごいな…(◎o◎)
@nocoxxxx そうですかぁ＊飲食店とかですか？
北村一輝素敵すぎるww∪≧ェ≦∪
ももクロってすごいな(゜∇゜)
若手芸人の嵐見てると短大の学園祭の教職員の発表で嵐やってたの思い出すぜww
RT @ren_i_bot: 付き合うには、傷つく覚悟と傷つけてしまう覚悟が必要だと思う。
明日やだなー…。
バドミントン下手でだめだめやぁ(;_;)
映画のSPEC見たいなー∪・!・∪
寝すぎたー(ρ＿；)
@shokotannnnn  仕事のことで(ノ△Ｔ)
かぼちゃ美味し(｀∇´） http://t.co/Kwcaadwp
SPEC今日公開かぁー(◎o◎)でもうちの地域じゃまだまだやぁ； 明日早番まじでやだな～(´⌒｀)いつんなったら辞められるかな…。
やっちまった；後ろの窓開けたまま洗車しちゃった(∋_∈)ばかだー(ノ△Ｔ)
久しぶりに梅酒飲んだけどダメだな…。
大木家のたのしい旅行おもしろかったー(≧∇≦) でんでん最高！www 竹野内豊かっこよすぎ(^O^)
コーン #第一印象とかどうでもいいからこんな時間だしお前の好きな寿司ネタなんだよ
仕事行きたくないなー(´⌒｀)もう口癖みたいになっとる；
@Risa0421  ですよね(ノ△Ｔ) 毎日憂鬱で仕方ないです；
あ～明日早番やだな…。 なんでこの仕事選んでしまったんだろ(?_?)
@Risa0421  そうなんですよね…。ありがとうございます(&gt;_&lt;)何のお仕事してるんですか？＊
あーもう嫌だ(∋_∈) こんな奴クビにしてくれればいいのに…。
@sundog025  栄養士です(&gt;_&lt;)と言ってもまだ調理員みたいなもんですが；
@sundog025  そうですね…仕事内容が嫌だし、これから先も続けていける自信がないです(T_T)
不定休ってやだな～； カラオケ行きたいー
@sundog025  病院で調理とかやってます(&gt;_&lt;) いえいえ＊大丈夫ですよ(*^^*)
こんな時間にドーナツ(∋_∈) http://t.co/eN4pCt7U
うちの地域でもSPEC公開してたー(≧∇≦) レディースデイの時に見に行こうかな(☆o☆)
RT @CopyPaste_bot: 痛いのは生きてるから。転んだのは進もうとしたから。悩んでるのは変わりたいから。逃げたいのは戦っているから。幸せなのは頑張っているから。
@sundog025  う～ん…そうですね(&gt;_&lt;)
雨だと出かける気にならん(T_T)
ATARUに北村一輝出る～ ∪・∀・∪ 見よっ(^O^)
ミスチルのyouthful daysめっちゃ好き(≧∇≦) 良い曲だ！！ てか早くSPEC見たいな(&gt;_&lt;)
吉川と冷泉だwww SPEC思い出しちゃう(￣∀￣)
ATARUおもしろいな(^O^)
明日早番やだな～(´⌒｀)胃が痛い；
自分がいけないの分かってるけど、仕事辞めたい；向いてる向いてないじゃなくて自分が合わせなきゃいけないんだろうけどやっぱこの仕事向いてない気がする...
スネ夫山Pとか何か嬉しいなwww(o^∀^o)
初いっちょう(^O^)！ メニューの種類豊富やぁ～＊お腹いっぱい(⌒～⌒)
今日朝からSPEC見に行こうと思ったけど二度寝してこんな時間になっちゃった(ノ△Ｔ)
@sundog025  そうですよね…。 でも辞める勇気もないっていう(T_T)
@shokotannnnn  どうしたのー？(*_*)
あー恋したいよー(∋_∈)するもんじゃなくて落ちるもんだけどさぁ…。 なかなか上手くはいかない；
桜キレイだ～(☆o☆) http://t.co/t5hveOds
@shokotannnnn  そういう時あるよね； あたしなんか年中めんどくさい病だけどね(ノ△Ｔ)（笑
@sundog025  はい(∋_∈)ありがとうございます(&gt;_&lt;)
あ～明日早番かあ(⌒～⌒)嫌じゃ～； てかやっぱSPECは何度見てもおもしろい(^O^)
岳くんかわいいな(*^^*)
ワタ毛男じゃなくてワキ毛男だったらどうなるかなwww
う"～仕事辞めたいよー(T_T)
早く髪切りたいな～
日曜芸人っていうの先週から始まってたんかぁ＊ 若様出てるから見たいけど明日早番だ(´⌒｀)
やっぱATUSHIかっこいい(≧∇≦) そしてJ Soul BrothersとBreathe歌上手すぎ！！
人生に疲れた…。 なんでも器用にこなせる人になりたいな(T_T)
うげ～(ノ△Ｔ) 明日休みなのに講演会と会議あるから仕事場行かなきゃだし；やだなー…。バド行きたかった(;_;)
たりないふたり見ようかな…でも始まるの遅いよ～(*_*)
休みってあっという間に過ぎる…。 あー嫌だ(*_*)
寝れない(*_*) ジャスミン茶飲んだからかな…。
爆発しそう(;`皿´) 自分って短気なのかな；
頭痛いー(T_T) いつも以上に痛い；
寂しいー
GWいらない～全部休みの人良いなぁ(;_;)
ガッキーかわゆす～(≧∇≦)
映画SPECめっちゃおもしろかった(^O^) まさかの向井理！なにもの(?_?) 続編やってくんないかなー
どっか遠く行きたいー(T_T)
お昼ー http://t.co/0iUhhdhd
仕事行きたくないー(∋_∈)
私にも春来ないかな～(ノ△Ｔ)
みんな名前をなくした女神の子達だー
カーテン越しに何か光ってるなぁと思ったら月だった(☆o☆)明るい～
SPECもう1回見に行こかなかな(◎o◎)
チョコざい君かわいい～(≧∇≦)
やっぱATUSHIかっけぇ(^O^)
今日もすごい綺麗な満月だ～☆
明日は休みだ～皮膚科どうしようかな…
SPEC観るぞい(^w^)
最近ほんとダメだ～(ノ△Ｔ)てか前からだけど…。さらに悪化してるよ；
鼻やばい；もげそう(∋_∈)
阪急電車見終わったー☆ ちょいちょい笑えたわ(^O^)
SPECほんと好き(≧∇≦)
薄力粉でピーザ(^O^) もっと薄くすれば良かったなー… http://t.co/yghaffo9
明日も早番だー…。 あーやだ；天職ってあるのかな(-_-#)
上手く書けん(⌒～⌒) あーどうしよ…。
仕事ほんとやだ…。(*_*)
あ～ほんとやだ(∋_∈) 辞めたい辞めたい(*_*)
@Risa0421  めっちゃ美味しそうですね(≧∇≦)
今日は夢に椎名桔平が出てきてうはうはだった(≧∇≦) カレーライスにカレーうどんってきつい；
RT @naitinn: 「しにたい」は「しあわせになりたい」の略だって言ってるだろ
仲村トオルかっこいー(^w^)声が素敵すぎる(≧∇≦)
眠い(⌒～⌒)
仕事行きたくないなー(*_*)ほんとやだ…。
もう6月かあ(*_*) 早いな…。 やだなー；なんも成長できてない気がする(T_T)
チョコザイくんかわいい～(^w^)
チャラい人まじ嫌いだー(*_*) ほんとやだ；
心の整理がつかない(T_T)感情が邪魔だーー
人生に疲れた…。 人って何考えてるか分かんない(*_*)複雑すぎる；病み期だー(T_T)
ATARUほんとかわいい！(*^^*)󾬚
あーもう色々とやだ。 こんなことで気にしてる自分も嫌い；
これからインスタント沼見るぞ～(≧∇≦)
インスタント沼めっちゃおもろかった(^O^) 麻生さんかわゆす＊加瀬さんかっけえ(^w^)
明日早番かあ…。 うげえー(T_T)
インスタント沼観てから加瀬さんが気になってしょうがない(☆o☆) そして今日は重力ピエロ見る＊
岡田将生やっぱかっこいいな(≧∇≦) 顔が綺麗すぎるよー＊
寝れないよー(*_*)
部屋の中33℃もある(´Д｀；）
飲み会楽しかったー(*^^*)やっぱ1人欠けると寂しくなるなぁ(T_T)
ATARU最終回かぁー(T_T) 続編とかあれば良いのに…。
なんでタモさんwww
さおりってハムスターのことだったんかwww
あーほんとに仕事辞めたい…。こっちに否があるのは分かってるけどもうやだ(*_*)ついてかれない；こんなんで社会で通用しないだろうけど辞めたい...
三浦翔平きたーー(≧∇≦)
全開ガール思い出すなー(^O^)
なんらもなぁ～…。
人間やめたいなー。 人間ってほんとめんどくさい…。
小学生の時の学習机ってみんなどうしてんだろ？ (*_*)処分してるんかなー
@saekiruruna  ありがとうございます(*_*) 人間やめて猫にでもなりたいくらいです(∋_∈)
トトロに抱きつきたいー~(○ﾟ▽ﾟ○)
鼻ににきびできて痛いし目立つ…(*_*)最悪だー；
良かったーやっと呼ばれた(ノ△Ｔ)
RT @tarinaifutari: こないだ麦わら帽子を買うためにビー◯スのレジに並んでる所をオリラジのあっちゃんに偶然見つかりました。ここ10年ぐらいで一番恥ずかしかったです。文責若林
@Risa0421  トトロ良いですよねっ(≧∇≦)ふかふかしてそうだし(*'０’＊）
寝すぎて頭痛い…。 明日早番なのに(p´⌒｀q)
@Risa0421 ネコバス良いですよねー(≧∇≦)一度で良いから乗ってみたいです(｀∇´ゞ
RT @tarinaifutari: よく行く近所の喫茶店の店員さんが山里さんのことをやたら褒めるので、一応山里さんの私生活情報をいれておきました。良いフォローになっていたと思います。文責若林
雨やばす(゜∇゜)
RT @kafuka_monchi: 寂しくない人はいない。みんな寂しいと思う。ただ強がって寂しくないふりをしてるだけ。寂しいは言っていい。「お腹すいた」と同じくらい言っていい。恥ずかしくない。みんなお腹すくし、みんな寂しいのだから。
RT @RolaWorLD: ちがうよ～ヽ(；o；)ノカキ氷のしるRT @_mrr5 @RolaWorLD ローラが飲んでるのって水色の絵の具〜(((o(*ﾟ▽ﾟ*)o)))？？
@Risa0421  そうなんですねっ(*'０’＊）子供になりたいですわ…(ノ△Ｔ)（笑
今日研修会に行ったら短大のときの先生に会ってびっくりした(◎o◎)懐かしい～＊ それにしても仕事辞めたい...
やっちまったー（；′_ゝ｀）鍵持って来ちゃったよ・゜・(PД`q。)・゜・ごめんなさい󾀅明日返しに行かなきゃ…。
ナポリの食卓今日初めて行ってきたー＊ 結構ボリュームあった(⌒～⌒)
@kawa1008  良いですね～＊ うらやましいです∪´Å｀∪
@kawa1008  遊び放題じゃないですか～(。-∀-) 後半2日間は休みです(T-T)
@kawa1008  仕事に行くの憂鬱になっちゃいますね(/´△`＼) 楽しみにしてます( ☆∀☆)（笑
@saekiruruna  私も辞めたいです(T_T)
@saekiruruna  どちらかというと仕事内容が嫌ですかね(&gt;_&lt;) そうですよね；私も病院で働いてるんですが看護師さんって本当に大変そうだなって感じます(ノ_・,)
明日早番だ(T_T) やだな～；
RT @RolaWorLD: みんなチョコミントはどんなきもちでたべているんだろう～ϵ( 'Θ' )϶
昨日は友達と映画☆おおかみこどもの雨と雪めっちゃ泣いた(;_;) 帰りは31(*≧∀≦*) http://t.co/UxOP8Qo5
色々とめんどくさいな～ なんのために生きてるんだろ…。
三浦春馬と同い年かぁーなんか親近感がわいてしまう( ☆∀☆)
ハーゲンダッツいただきっ（＠＾＾＠） http://t.co/1Zp7L6Sl
タコライス完成(｀◇´) http://t.co/QR00DlwY
#全日本もう帰りたい協会
溝端淳平かっこいー(*≧∀≦*)
スマスマで卓球やってるの見たら卓球やりたくなってきたー(＞＜*) どっか卓球やってるサークルないかなぁ；
2回目のSPEC天見るぞい( ☆∀☆)
古戦場マラソン無事完走！！ しんどかったー(ノ_・,) もっと走りこんどきゃ良かった； http://t.co/ctBJhBZZ
明日早番だー(T_T) 行きたくないよう…(∋_∈)
明日休みなのに夕方から研修あるし(&gt;_&lt;) 早く終わると良いなー；バド行こうと思ったのに…。
なんか色んなことに疲れた…。 すべて投げ出して遠くに行きたい；
@Risa0421  ほんとですか(＞＜*) 旅良いですね＊綺麗な自然見たりおいしいもの食べたりしたいです～
@Risa0421  そうですよねっ（＠＾＾＠） もし旅に行くならどこ行きたいですか～？☆
今日で22歳＊ 歳とりたくない、、、今年ももうすぐ終わっちゃうよ～(&gt;_&lt;)やだな；
心理テスト・恋愛・性格診断がたくさん♪幸せココロサプリ始めたよ =&gt; http://t.co/wck9xzxj #癒し #診断 #kokorosp
これから初ボーリング(&gt;_&lt;) やだなぁー…。
ボーリング無事終了。手がおかしくなった(;_;)頭いたー…。
あーもうすべてやだ。全部投げ出したい…。誰かに必要とされたいよ、、寂しいよー
@nyaao ありがとうございます（つд；*)
頭痛いし鼻つまってる…。しんどい゜゜(´O｀)°゜ 明日茶碗蒸しかぁ…(泣)
HACHI約束の犬見る（＠＾＾＠）
@arue04b  フォローありがとー（＠＾＾＠） よろしくねっ☆
世は三連休かぁ…。良いなぁ(T^T) 私も3連休ほしいー(つД｀)
自分がいけないけど…もう辞めたい辞めたい
ココアうまし(。-∀-) 仕事行きたくない…。
雪めっちゃ降ってる(;つД｀) タイヤどうしよ…
@arue04b  お酒良いなぁ～（*≧∀≦*) 何のお酒飲んだの～？☆
人生上手くいかないなぁ…。 悩みがだらけ、、
@arue04b  ありがとう(T^T) 仕事のことでの悩みが主なんだけどね(;＿q)
心理テスト・恋愛・性格診断がたくさん♪幸せココロサプリ始めたよ =&gt; http://t.co/wck9xzxj #癒し #診断 #kokorosp
いきものきたーー＼(^o^)／
仕事辞めたい辞めたいー 本気で転職活動しようかな…。
@matonatonya  ですよね(;つД｀)辞めたいけど中々辞めれないっていう…(;_;)
怒りが沸点に達しそう( ´△｀)てか達する。イライラが収まらん(- -;) だったら最初から頼むなーー！！！
@kawa1008  はい(TT)そのもしかしての人です(｀ヘ´)(笑
筋肉痛やばい(;-;) あーまじむかつく。 話してると疲れる(T_T）なんでそんな話しかできないんだろ…。
仕事辞めたい辞めたい
AI来たー(&gt;∀&lt;●)ﾉ
生きてる意味ってなんだろ…。
今日は月が近いー('O'*)!!そしてくっきりで綺麗だ＊
@saekiruruna  ですよね(´∀`◎)何か、不気味なくらい綺麗でびっくりしちゃいました＊!
@giraffe0244  こちらこそありがとうございますっ(´∪`*) よろしくです～♪☆
@giraffe0244  私も鬱なの多いから大丈夫です!ﾟ∀ﾟ)･∵.(笑 むしろ共感してます(&gt;_&lt;)
@giraffe0244 こちらこそよろしくお願いします＊！ はい(;_;) がんばりましょ｡ﾟ(ﾉ□`｡)ﾟ｡｡
仕事辞めたい辞めたい辞めたい
@giraffe0244  そうなんですね(&gt;_&lt;)私も早く辞めたいです…。次は何の仕事やりたいとかありますか＊？
@giraffe0244  そうなんですかぁ!ちゃんと自分のやりたい事が決まってて尊敬します(＞＜*) 今は、働いて2年くらい経ちます＊ 辞めたいけどなかなか踏み出せないんですよねー…(T＿T)
@giraffe0244  栄養士です(&gt;_&lt;)でも、仕事の内容とか勤務時間とか全てにおいて嫌です(笑 いやいやそんなことないですよ(ノ_・,) 私なんてやりたい事決まってないし；
@giraffe0244
@giraffe0244 でも、2年経つのにいまだに怒られてばっかです(/_;)(笑  うらやましいです＊そうですかぁ(&gt;_&lt;) もう辞めることは伝えたんですか？
@giraffe0244  そうなんですね(&gt;_&lt;) 会社のだと言いづらいですよね(;つД｀)
@giraffe0244  そうですよねー…。タイミング大事ですよね(;つД｀)
@giraffe0244  全然決めてないです(._.;)というか切り出せるのかすら疑問です(&gt;_&lt;)(笑
@giraffe0244  そうですね(/_;) 私もがんばって言いたいと思います(´；ω；`)
まじむかつく(-_-)だったら電話してくるな!!ほんと気まぐれって言うか自分勝手でやだ。
@giraffe0244  私も早めに言いたいです(T＿T) そういえばきりんさんはどこに住んでるんですかー？＊
@giraffe0244  そうなんですね(´∪`*) 私は長野県に住んでます☆ 宮城はまだ寒いですかー？
#最高の離婚 光生と結夏みたいな夫婦良いなぁ～＊
@giraffe0244  遠いですね(＞＜*)そうなんですねっ!＊ 長野も暖かかったり寒かったりでいつも何着てくか迷います(/_;)(笑
@giraffe0244  ですよね(&gt;_&lt;) 仕事行く時何かはめんどくさくて適当です( ノД`)(笑
@giraffe0244  そうですよねー(＞＜*)(笑 動きやすい格好じゃないとやりづらいですもんね(T-T)
@giraffe0244  そうですよね(&gt;_&lt;) 入浴介助とかもあるし( ノД`)
@giraffe0244  大変ですよね(/_;) そうなんですね(&gt;_&lt;)人手不足とかですか？
@giraffe0244  そうなんですね；それだと引きとめられそうですね(T^T) 私も来月に辞める人が居るのでどうしようって感じです…。
@giraffe0244  はい；今日、聞かされました(&gt;_&lt;) そうですね(/_;)ありがとうございます＊ 私も聞くのでどんどん話しちゃってください!! はい☆地道にたててきましょ(*´∇｀*)(笑
@giraffe0244  私もです（つд；*) がんばりましょー!!（＠＾＾＠）
@ecru_eee7e0  こちらこそありがとうございます(^^♪ よろしくお願いします～(*´∇｀*)
@akaguku  こちらこそありがとうございます(*^^*) よろしくです☆♯
ハンナ・モンタナ見る～(´∀`◎)
@sko1116  こちらこそありがとうございます(´∀`◎) よろしくです～＊
@Sy0oooG0  名を名乗るほどの者ではないです(´Д`;)(笑
三浦春馬かっこよすぎ(／▽＼)♪
あー早く仕事辞めたい。
@10sa50Mm  いえいえ(人´Д`*)こちらこそありがとうございます～♪よろしくです（＠＾＾＠）
明日も早番かー；しかも早く帰れない…。行きたくない(&gt;_&lt;)早く辞めたい
@ecru_eee7e0  ありがとうございます(;＿q) その言葉だけでも嬉しいです!!＊
ハートのチュロスいただき～(´∪`*) http://t.co/cqtqIHgGUE
誰かに必要とされたい…。 居ても居なくても一緒な気がする。
@Risa0421  そうですかね(&gt;_&lt;)ありがとうございます(T_T)
@Risa0421  ありがとうございます･ﾟ･(ﾉД`;)･ﾟ･
@awotya25nico  いえいえ（＠＾＾＠） 仕事辞めたいツイートから来ました(笑
ハンナモンタナ最高ー!!面白すぎてやばい＼(^o^)／
仕事辞めたい辞めたい てかもう何もかも嫌だ 胃がムカムカする。全て投げ出せたらいいのになぁー
@awotya25nico  遅くなってすいません(;つД｀) まじです(笑 何のお仕事されてるんですかー？
@awotya25nico  そうなんですね＊何年くらいやってるんですか？
RT @risou_no_kimi: 今日は七夕。アイスランドのオーロラと天の川を届けます。恋が叶いたい人RT http://t.co/IWxasEhczY
森カンちゃん、ばっさーかわいい～(*'A`*) そして翔平君かっこよすぎ!!(=∵=)
